Retailer,Retailer ID,Invoice Date ,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299,20-02-2020,Southeast,Florida,Orlando,Women's Athletic Footwear,66,196,1294,479,Outlet
West Gear,1197831,27-09-2021,South,Oklahoma,Oklahoma City,Men's Street Footwear,35,196,686,316,Outlet
Sports Direct,1185732,18-02-2020,Northeast,Massachusetts,Boston,Men's Street Footwear,39,196,764,268,Outlet
Sports Direct,1185732,03-06-2020,Northeast,Massachusetts,Boston,Men's Street Footwear,40,196,784,259,Outlet
Amazon,1185732,26-09-2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,47,196,921,396,Outlet
Sports Direct,1185732,12-01-2020,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,45,195,8775,"2,633.00",Online
Foot Locker,1185732,04-06-2020,Midwest,North Dakota,Fargo,Women's Street Footwear,40,195,7800,"2,340.00",In-store
Walmart,1197831,23-03-2020,South,Texas,Houston,Men's Apparel,42,195,819,369,Online
Kohl's,1189833,14-07-2020,West,California,Los Angeles,Men's Athletic Footwear,43,195,839,335,Online
Kohl's,1189833,12-12-2020,West,California,Los Angeles,Men's Athletic Footwear,41,195,800,280,Online
Sports Direct,1197831,16-04-2020,South,Texas,Dallas,Men's Street Footwear,19,195,371,185,Online
West Gear,1128299,08-10-2020,West,Washington,Seattle,Men's Street Footwear,71,195,1385,581,Online
West Gear,1128299,26-02-2020,West,Washington,Seattle,Men's Athletic Footwear,77,195,1502,571,Online
Foot Locker,1185732,15-04-2021,Southeast,Florida,Miami,Men's Apparel,50,195,975,488,Online
Foot Locker,1185732,15-06-2021,Southeast,Florida,Miami,Men's Athletic Footwear,43,195,839,411,Online
Sports Direct,1185732,01-05-2020,Southeast,Florida,Miami,Men's Apparel,64,195,1248,624,Online
Sports Direct,1197831,28-07-2021,South,Alabama,Birmingham,Men's Street Footwear,19,195,371,215,Online
Walmart,1128299,12-10-2020,Southeast,Florida,Orlando,Men's Apparel,89,195,1736,555,Online
Foot Locker,1128299,17-08-2021,Southeast,Virginia,Richmond,Women's Street Footwear,73,195,1424,683,Online
Sports Direct,1185732,17-05-2020,Midwest,Michigan,Detroit,Men's Athletic Footwear,50,195,975,488,Online
West Gear,1128299,24-09-2020,West,Oregon,Portland,Women's Street Footwear,68,195,1326,650,Online
West Gear,1128299,30-09-2020,West,Oregon,Portland,Men's Athletic Footwear,48,195,936,468,Online
West Gear,1128299,19-10-2021,South,Louisiana,New Orleans,Women's Apparel,100,195,1950,936,Online
West Gear,1197831,17-12-2020,West,Idaho,Boise,Men's Street Footwear,19,195,371,174,Online
West Gear,1197831,16-05-2021,West,Idaho,Boise,Men's Athletic Footwear,29,195,566,271,Online
West Gear,1197831,25-09-2021,West,Idaho,Boise,Men's Street Footwear,42,195,819,401,Online
Foot Locker,1197831,11-05-2021,West,Idaho,Boise,Men's Athletic Footwear,53,195,1034,548,Online
Foot Locker,1185732,23-03-2021,Southeast,South Carolina,Charleston,Men's Apparel,62,195,1209,544,Online
Sports Direct,1185732,09-07-2020,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,32,195,624,293,Online
Amazon,1185732,14-01-2020,Midwest,Ohio,Columbus,Men's Athletic Footwear,56,195,1092,513,Online
Amazon,1185732,26-08-2020,Midwest,Ohio,Columbus,Men's Athletic Footwear,58,195,1131,520,Online
Walmart,1197831,26-03-2021,South,Texas,Houston,Men's Apparel,30,195,585,187,Outlet
Kohl's,1189833,14-01-2021,West,California,Los Angeles,Women's Athletic Footwear,39,195,761,304,Outlet
Kohl's,1189833,23-09-2021,West,California,Los Angeles,Men's Apparel,44,195,858,532,Outlet
Sports Direct,1197831,02-12-2020,South,Tennessee,Knoxville,Men's Athletic Footwear,31,195,605,284,Outlet
Walmart,1128299,20-02-2020,Southeast,Florida,Orlando,Women's Apparel,75,195,1463,687,Outlet
Sports Direct,1185732,12-07-2021,Northeast,Connecticut,Hartford,Men's Street Footwear,42,195,819,369,Outlet
Amazon,1185732,05-07-2020,Northeast,Vermont,Burlington,Men's Street Footwear,47,195,917,449,Outlet
West Gear,1128299,11-10-2020,South,Texas,Houston,Men's Athletic Footwear,49,194,951,295,Online
West Gear,1128299,27-02-2021,West,California,San Francisco,Women's Athletic Footwear,51,194,989,396,Online
Sports Direct,1197831,24-04-2020,South,Texas,Dallas,Men's Athletic Footwear,29,194,563,276,Online
West Gear,1185732,22-03-2020,Southeast,Florida,Miami,Men's Athletic Footwear,54,194,1048,524,Online
West Gear,1185732,21-10-2021,Northeast,New York,Albany,Women's Apparel,66,194,1280,832,Online
Sports Direct,1185732,28-03-2020,Southeast,South Carolina,Charleston,Women's Athletic Footwear,59,194,1145,515,Online
Amazon,1185732,01-03-2020,Southeast,North Carolina,Charlotte,Men's Street Footwear,32,194,621,323,Online
Foot Locker,1185732,22-05-2020,South,Mississippi,Jackson,Men's Street Footwear,39,194,757,416,Online
Sports Direct,1185732,03-03-2020,South,Mississippi,Jackson,Men's Street Footwear,68,194,1319,699,Online
Kohl's,1189833,26-05-2021,West,California,Los Angeles,Women's Apparel,33,194,640,147,Outlet
Kohl's,1189833,12-09-2021,West,California,Los Angeles,Women's Athletic Footwear,32,194,621,230,Outlet
Sports Direct,1197831,26-12-2021,South,Alabama,Birmingham,Men's Street Footwear,23,194,446,219,Outlet
Sports Direct,1197831,07-10-2020,South,Alabama,Birmingham,Men's Athletic Footwear,32,194,621,292,Outlet
West Gear,1185732,28-01-2020,West,Utah,Salt Lake City,Men's Street Footwear,20,194,388,178,Outlet
Foot Locker,1128299,09-08-2021,South,Louisiana,New Orleans,Women's Apparel,59,194,1145,458,Outlet
Sports Direct,1197831,13-03-2021,West,Idaho,Boise,Women's Apparel,51,194,989,584,Outlet
Foot Locker,1128299,15-11-2020,West,Arizona,Phoenix,Men's Street Footwear,37,194,718,280,Outlet
Foot Locker,1128299,31-01-2020,West,Arizona,Phoenix,Men's Street Footwear,41,194,795,318,Outlet
Foot Locker,1128299,12-01-2020,West,Arizona,Phoenix,Men's Street Footwear,35,194,679,272,Outlet
Sports Direct,1185732,01-04-2020,Northeast,Connecticut,Hartford,Men's Street Footwear,40,194,776,326,Outlet
Kohl's,1189833,01-03-2020,West,California,Los Angeles,Women's Athletic Footwear,33,193,637,242,Outlet
West Gear,1128299,07-02-2020,West,Nevada,Las Vegas,Men's Athletic Footwear,50,193,965,241,Outlet
Sports Direct,1197831,08-07-2021,South,Alabama,Birmingham,Women's Athletic Footwear,52,193,1004,632,Outlet
West Gear,1185732,10-08-2020,Southeast,Florida,Orlando,Men's Apparel,36,193,695,285,Outlet
Sports Direct,1185732,13-11-2021,Southeast,Virginia,Richmond,Women's Apparel,25,193,483,280,Outlet
West Gear,1128299,03-02-2020,West,Oregon,Portland,Women's Street Footwear,48,193,926,380,Outlet
Kohl's,1128299,19-09-2021,West,New Mexico,Albuquerque,Women's Street Footwear,41,193,791,317,Outlet
Walmart,1197831,03-08-2020,South,Arkansas,Little Rock,Women's Apparel,40,193,772,363,Outlet
Amazon,1185732,27-01-2020,Northeast,New Hampshire,Manchester,Men's Street Footwear,51,193,984,433,Outlet
Sports Direct,1197831,11-05-2021,South,Texas,Dallas,Women's Athletic Footwear,29,192,557,273,Outlet
West Gear,1128299,10-03-2021,West,Nevada,Las Vegas,Women's Apparel,57,192,1094,306,Outlet
Sports Direct,1197831,21-05-2020,South,Alabama,Birmingham,Men's Athletic Footwear,26,192,499,210,Outlet
Foot Locker,1128299,27-08-2021,South,Louisiana,New Orleans,Women's Street Footwear,53,192,1018,438,Outlet
Foot Locker,1128299,15-01-2020,South,Louisiana,New Orleans,Women's Athletic Footwear,53,192,1018,478,Outlet
Kohl's,1128299,07-10-2020,West,New Mexico,Albuquerque,Women's Apparel,50,192,960,269,Outlet
Walmart,1185732,01-05-2021,South,Mississippi,Jackson,Men's Athletic Footwear,42,192,806,306,Outlet
West Gear,1197831,16-10-2020,South,Oklahoma,Oklahoma City,Men's Street Footwear,32,192,614,283,Outlet
Sports Direct,1185732,17-05-2020,Northeast,Connecticut,Hartford,Men's Street Footwear,40,191,764,336,Outlet
West Gear,1128299,31-01-2020,West,California,San Francisco,Women's Athletic Footwear,39,190,741,252,Outlet
Sports Direct,1197831,31-03-2021,South,Texas,Dallas,Women's Street Footwear,32,190,608,268,Outlet
Sports Direct,1197831,17-11-2020,South,Texas,Dallas,Women's Apparel,39,190,741,430,Outlet
Sports Direct,1197831,01-07-2021,South,Texas,Dallas,Women's Athletic Footwear,44,190,836,468,Outlet
Sports Direct,1197831,22-01-2021,South,Alabama,Birmingham,Women's Street Footwear,11,190,209,109,Outlet
Sports Direct,1197831,09-05-2021,South,Alabama,Birmingham,Women's Apparel,26,190,494,356,Outlet
Walmart,1128299,12-04-2021,Southeast,Florida,Orlando,Men's Athletic Footwear,43,190,817,237,Outlet
Sports Direct,1128299,30-08-2021,Southeast,Virginia,Richmond,Women's Apparel,65,190,1235,432,Outlet
West Gear,1185732,13-12-2021,West,Utah,Salt Lake City,Women's Apparel,32,190,608,328,Outlet
West Gear,1128299,28-03-2021,West,Oregon,Portland,Men's Street Footwear,34,190,646,239,Outlet
Sports Direct,1197831,15-09-2021,West,Idaho,Boise,Men's Athletic Footwear,27,190,513,221,Outlet
Foot Locker,1128299,06-11-2021,West,Arizona,Phoenix,Men's Athletic Footwear,46,190,874,367,Outlet
Sports Direct,1128299,28-03-2020,Southeast,Georgia,Atlanta,Women's Apparel,53,190,1007,322,Outlet
Sports Direct,1197831,16-01-2021,South,Texas,Houston,Women's Apparel,39,189,737,442,Online
Walmart,1197831,02-01-2021,South,Texas,Houston,Women's Athletic Footwear,39,189,737,428,Online
Walmart,1197831,07-03-2020,South,Texas,Houston,Women's Athletic Footwear,38,189,718,424,Online
West Gear,1128299,12-04-2021,West,California,San Francisco,Women's Apparel,72,189,1361,449,Online
Kohl's,1189833,14-05-2020,West,California,San Francisco,Women's Street Footwear,41,189,775,403,Online
Kohl's,1189833,19-05-2021,West,California,Los Angeles,Women's Athletic Footwear,44,189,832,399,Online
Kohl's,1189833,23-05-2020,West,California,Los Angeles,Men's Apparel,46,189,869,574,Online
Kohl's,1189833,05-02-2020,West,California,Los Angeles,Women's Apparel,61,189,1153,404,Online
Kohl's,1189833,12-12-2021,West,California,Los Angeles,Women's Apparel,59,189,1115,346,Online
Kohl's,1189833,05-07-2020,West,California,Los Angeles,Women's Apparel,59,189,1115,379,Online
Sports Direct,1197831,14-06-2021,Midwest,Illinois,Chicago,Men's Street Footwear,20,189,378,151,Online
Sports Direct,1197831,03-10-2020,South,Texas,Dallas,Women's Street Footwear,62,189,1172,633,Online
West Gear,1128299,10-06-2020,West,Nevada,Las Vegas,Men's Street Footwear,56,189,1058,603,Online
West Gear,1128299,06-08-2020,West,Nevada,Las Vegas,Men's Athletic Footwear,62,189,1172,398,Online
West Gear,1128299,24-08-2021,West,Colorado,Denver,Men's Street Footwear,54,189,1021,653,Online
West Gear,1128299,12-06-2021,West,Colorado,Denver,Men's Athletic Footwear,73,189,1380,579,Online
West Gear,1185732,25-10-2021,Southeast,Florida,Miami,Women's Athletic Footwear,38,189,718,323,Online
Sports Direct,1185732,12-10-2020,Southeast,Florida,Miami,Men's Apparel,57,189,1077,539,Online
Sports Direct,1197831,07-04-2020,South,Tennessee,Knoxville,Men's Street Footwear,27,189,510,260,Online
Sports Direct,1197831,06-04-2021,South,Tennessee,Knoxville,Men's Street Footwear,14,189,265,132,Online
Sports Direct,1197831,11-06-2020,South,Tennessee,Knoxville,Men's Athletic Footwear,29,189,548,307,Online
Sports Direct,1197831,05-02-2021,South,Alabama,Birmingham,Men's Athletic Footwear,19,189,359,208,Online
Sports Direct,1197831,28-04-2021,South,Alabama,Birmingham,Men's Athletic Footwear,19,189,359,212,Online
Sports Direct,1197831,16-01-2020,South,Alabama,Birmingham,Women's Street Footwear,44,189,832,491,Online
Amazon,1185732,25-03-2020,West,Alaska,Anchorage,Men's Street Footwear,59,189,1115,513,Online
Walmart,1128299,05-09-2021,West,Hawaii,Honolulu,Men's Street Footwear,68,189,1285,514,Online
Walmart,1128299,16-10-2020,Southeast,Florida,Orlando,Women's Street Footwear,86,189,1625,715,Online
Walmart,1128299,13-12-2021,Southeast,Florida,Orlando,Women's Street Footwear,78,189,1474,634,Online
West Gear,1185732,03-04-2020,Southeast,Florida,Orlando,Men's Athletic Footwear,44,189,832,391,Online
Foot Locker,1128299,24-12-2020,Southeast,Virginia,Richmond,Women's Street Footwear,69,189,1304,626,Online
Sports Direct,1185732,22-05-2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,53,189,1002,511,Online
West Gear,1128299,03-04-2021,West,Oregon,Portland,Women's Street Footwear,78,189,1474,678,Online
West Gear,1128299,07-08-2021,West,Oregon,Portland,Women's Apparel,95,189,1796,808,Online
West Gear,1128299,04-03-2020,South,Louisiana,New Orleans,Men's Apparel,86,189,1625,943,Online
West Gear,1128299,12-11-2020,South,Louisiana,New Orleans,Women's Street Footwear,70,189,1323,728,Online
Sports Direct,1197831,22-04-2020,West,Idaho,Boise,Men's Athletic Footwear,32,189,605,314,Online
Sports Direct,1128299,24-05-2020,Southeast,Georgia,Atlanta,Men's Athletic Footwear,58,189,1096,581,Online
Foot Locker,1185732,09-02-2020,Southeast,Georgia,Atlanta,Men's Apparel,47,189,888,418,Online
Foot Locker,1185732,17-10-2020,Southeast,South Carolina,Charleston,Men's Apparel,49,189,926,435,Online
Foot Locker,1185732,18-03-2020,Southeast,South Carolina,Charleston,Women's Apparel,32,189,605,381,Online
Foot Locker,1185732,16-05-2021,Southeast,South Carolina,Charleston,Men's Apparel,52,189,983,472,Online
Sports Direct,1185732,24-03-2021,Southeast,South Carolina,Charleston,Women's Street Footwear,24,189,454,245,Online
Sports Direct,1185732,04-03-2021,Southeast,North Carolina,Charlotte,Women's Apparel,32,189,605,369,Online
Foot Locker,1185732,05-09-2021,Southeast,Kentucky,Louisville,Men's Street Footwear,29,189,548,296,Online
Sports Direct,1197831,31-08-2020,South,Mississippi,Jackson,Men's Street Footwear,24,189,454,231,Online
West Gear,1197831,11-03-2020,South,Oklahoma,Oklahoma City,Men's Street Footwear,56,189,1058,540,Online
Kohl's,1197831,19-10-2021,Midwest,Kansas,Wichita,Men's Street Footwear,56,189,1058,529,Online
Foot Locker,1185732,07-10-2020,Northeast,Delaware,Wilmington,Men's Street Footwear,51,189,964,443,Online
Sports Direct,1185732,26-08-2021,Northeast,Connecticut,Hartford,Men's Street Footwear,54,189,1021,551,Online
Walmart,1197831,03-10-2021,South,Texas,Houston,Women's Street Footwear,48,188,902,424,Online
West Gear,1128299,27-04-2021,West,California,San Francisco,Women's Athletic Footwear,54,188,1015,416,Online
West Gear,1128299,26-03-2021,West,California,San Francisco,Women's Athletic Footwear,59,188,1109,455,Online
West Gear,1128299,03-08-2020,West,California,San Francisco,Men's Apparel,69,188,1297,791,Online
Kohl's,1189833,11-05-2020,West,California,Los Angeles,Women's Apparel,41,188,771,270,Online
West Gear,1128299,28-07-2020,West,Colorado,Denver,Men's Athletic Footwear,67,188,1260,504,Online
West Gear,1128299,06-12-2020,West,Washington,Seattle,Men's Athletic Footwear,74,188,1391,515,Online
West Gear,1128299,03-01-2020,West,Washington,Seattle,Men's Athletic Footwear,60,188,1128,417,Online
West Gear,1128299,12-11-2021,West,Washington,Seattle,Men's Street Footwear,78,188,1466,587,Online
West Gear,1185732,05-04-2020,Southeast,Florida,Miami,Women's Street Footwear,47,188,884,327,Online
Kohl's,1189833,26-05-2021,Midwest,Montana,Billings,Men's Athletic Footwear,54,188,1015,437,Online
Sports Direct,1197831,26-10-2020,South,Alabama,Birmingham,Men's Athletic Footwear,36,188,677,372,Online
Sports Direct,1197831,18-04-2020,South,Alabama,Birmingham,Women's Street Footwear,59,188,1109,699,Online
Sports Direct,1197831,27-09-2021,South,Alabama,Birmingham,Women's Apparel,56,188,1053,832,Online
West Gear,1185732,01-02-2020,Northeast,New York,Albany,Women's Street Footwear,51,188,959,345,Online
West Gear,1128299,27-12-2020,West,Oregon,Portland,Men's Street Footwear,61,188,1147,550,Online
West Gear,1128299,19-12-2020,South,Louisiana,New Orleans,Men's Street Footwear,39,188,733,367,Online
West Gear,1197831,03-06-2020,West,Idaho,Boise,Men's Athletic Footwear,46,188,865,415,Online
Sports Direct,1197831,01-10-2020,West,Idaho,Boise,Men's Athletic Footwear,50,188,940,489,Online
Foot Locker,1185732,21-09-2020,Southeast,South Carolina,Charleston,Men's Apparel,47,188,884,442,Online
Foot Locker,1185732,18-04-2020,Southeast,South Carolina,Charleston,Men's Athletic Footwear,45,188,846,381,Online
Foot Locker,1185732,05-09-2020,Southeast,South Carolina,Charleston,Men's Athletic Footwear,44,188,827,372,Online
Sports Direct,1185732,11-01-2020,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34,188,639,307,Online
Foot Locker,1185732,16-04-2021,South,Mississippi,Jackson,Women's Apparel,60,188,1128,711,Online
Kohl's,1185732,03-01-2021,Northeast,New Jersey,Newark,Men's Street Footwear,47,188,884,415,Online
West Gear,1128299,26-05-2021,West,California,San Francisco,Women's Athletic Footwear,48,188,902,307,Outlet
Sports Direct,1197831,15-07-2020,South,Alabama,Birmingham,Men's Street Footwear,14,188,263,150,Outlet
Sports Direct,1197831,12-08-2021,South,Alabama,Birmingham,Women's Apparel,45,188,846,584,Outlet
Walmart,1128299,14-07-2020,Southeast,Florida,Orlando,Men's Street Footwear,41,188,771,262,Outlet
Foot Locker,1197831,21-01-2020,West,Idaho,Boise,Men's Athletic Footwear,27,188,508,198,Outlet
Kohl's,1128299,22-04-2021,West,New Mexico,Albuquerque,Men's Athletic Footwear,39,188,733,337,Outlet
Amazon,1185732,28-05-2020,Northeast,New Hampshire,Manchester,Men's Street Footwear,39,188,733,337,Outlet
Foot Locker,1185732,27-06-2020,South,Mississippi,Jackson,Men's Street Footwear,23,187,430,237,Online
Foot Locker,1128299,29-06-2020,Southeast,Virginia,Richmond,Women's Athletic Footwear,65,187,1216,511,Outlet
Sports Direct,1185732,23-04-2020,Southeast,Virginia,Richmond,Men's Athletic Footwear,28,187,524,246,Outlet
West Gear,1197831,15-05-2021,West,Idaho,Boise,Women's Athletic Footwear,33,187,617,302,Outlet
Kohl's,1128299,19-01-2021,West,New Mexico,Albuquerque,Men's Street Footwear,30,187,561,230,Outlet
Kohl's,1128299,23-03-2021,West,New Mexico,Albuquerque,Men's Athletic Footwear,47,187,879,378,Outlet
Sports Direct,1128299,01-09-2021,Southeast,Georgia,Atlanta,Men's Street Footwear,37,187,692,318,Outlet
Amazon,1185732,30-12-2020,Northeast,New Hampshire,Manchester,Men's Street Footwear,33,187,617,259,Outlet
Foot Locker,1185732,24-10-2021,Midwest,Missouri,St. Louis,Men's Street Footwear,34,186,632,323,Online
West Gear,1128299,06-05-2020,West,Nevada,Las Vegas,Men's Street Footwear,41,186,763,290,Outlet
Walmart,1128299,24-08-2021,Southeast,Florida,Orlando,Women's Athletic Footwear,59,186,1097,362,Outlet
Foot Locker,1128299,16-04-2021,Southeast,Virginia,Richmond,Women's Apparel,82,186,1525,503,Outlet
West Gear,1197831,09-08-2021,West,Idaho,Boise,Women's Street Footwear,34,186,632,259,Outlet
Amazon,1185732,16-12-2021,Northeast,Vermont,Burlington,Men's Street Footwear,48,186,893,429,Outlet
Amazon,1185732,21-11-2020,Northeast,Vermont,Burlington,Men's Street Footwear,34,186,632,278,Outlet
Amazon,1185732,19-05-2020,Northeast,Vermont,Burlington,Men's Street Footwear,35,185,648,317,Outlet
Walmart,1197831,15-08-2021,South,Texas,Houston,Men's Apparel,35,184,644,238,Outlet
Sports Direct,1197831,14-02-2021,South,Texas,Dallas,Men's Apparel,39,184,718,273,Outlet
Sports Direct,1197831,03-07-2021,South,Alabama,Birmingham,Men's Street Footwear,20,184,368,191,Outlet
Foot Locker,1128299,21-09-2020,Southeast,Virginia,Richmond,Women's Athletic Footwear,61,184,1122,460,Outlet
West Gear,1185732,10-05-2020,West,Utah,Salt Lake City,Women's Apparel,27,184,497,283,Outlet
West Gear,1128299,27-08-2021,South,Louisiana,New Orleans,Women's Athletic Footwear,59,184,1086,510,Outlet
West Gear,1128299,30-06-2021,South,Louisiana,New Orleans,Men's Athletic Footwear,34,184,626,282,Outlet
West Gear,1197831,10-01-2021,West,Idaho,Boise,Women's Street Footwear,18,184,331,129,Outlet
Foot Locker,1197831,28-11-2021,West,Idaho,Boise,Women's Athletic Footwear,44,184,810,421,Outlet
Foot Locker,1128299,18-07-2020,West,Arizona,Phoenix,Men's Street Footwear,38,184,699,266,Outlet
Foot Locker,1128299,28-12-2020,West,Arizona,Phoenix,Men's Street Footwear,35,184,644,270,Outlet
Kohl's,1128299,10-01-2020,West,New Mexico,Albuquerque,Men's Street Footwear,43,184,791,324,Outlet
Sports Direct,1128299,12-07-2021,Southeast,Georgia,Atlanta,Women's Street Footwear,41,184,754,309,Outlet
Sports Direct,1128299,13-02-2020,Southeast,Georgia,Atlanta,Men's Athletic Footwear,40,184,736,324,Outlet
West Gear,1197831,24-09-2020,South,Oklahoma,Oklahoma City,Men's Street Footwear,20,184,368,169,Outlet
Amazon,1185732,09-09-2020,Northeast,Massachusetts,Boston,Men's Street Footwear,33,184,607,285,Outlet
Foot Locker,1185732,01-05-2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,41,184,754,279,Outlet
Sports Direct,1197831,26-11-2021,South,Texas,Houston,Women's Street Footwear,32,182,582,285,Online
Walmart,1197831,09-04-2020,South,Texas,Houston,Women's Athletic Footwear,47,182,855,496,Online
West Gear,1128299,12-06-2020,West,California,San Francisco,Women's Apparel,46,182,837,234,Online
West Gear,1128299,20-09-2021,West,California,San Francisco,Women's Athletic Footwear,56,182,1019,459,Online
West Gear,1128299,25-07-2021,West,California,San Francisco,Women's Street Footwear,50,182,910,382,Online
West Gear,1128299,16-12-2020,West,California,San Francisco,Men's Apparel,59,182,1074,623,Online
Kohl's,1189833,17-12-2020,West,California,Los Angeles,Women's Apparel,41,182,746,231,Online
Kohl's,1189833,21-07-2021,West,California,Los Angeles,Men's Apparel,58,182,1056,707,Online
Kohl's,1189833,02-07-2020,West,California,Los Angeles,Women's Street Footwear,46,182,837,452,Online
Sports Direct,1197831,08-09-2020,South,Texas,Dallas,Men's Street Footwear,29,182,528,264,Online
Sports Direct,1197831,08-10-2020,South,Texas,Dallas,Men's Street Footwear,18,182,328,147,Online
West Gear,1128299,20-05-2020,West,Nevada,Las Vegas,Men's Athletic Footwear,64,182,1165,454,Online
West Gear,1128299,02-03-2021,West,Colorado,Denver,Men's Athletic Footwear,64,182,1165,443,Online
West Gear,1128299,13-11-2020,West,Washington,Seattle,Women's Apparel,98,182,1784,606,Online
West Gear,1128299,21-05-2021,West,Washington,Seattle,Men's Athletic Footwear,82,182,1492,537,Online
Foot Locker,1185732,13-03-2021,Southeast,Florida,Miami,Men's Apparel,53,182,965,444,Online
Sports Direct,1185732,16-01-2021,Southeast,Florida,Miami,Women's Athletic Footwear,45,182,819,360,Online
Kohl's,1189833,20-05-2021,Midwest,Montana,Billings,Men's Athletic Footwear,45,182,819,352,Online
Sports Direct,1197831,04-10-2020,Midwest,Montana,Billings,Men's Athletic Footwear,29,182,528,243,Online
Sports Direct,1197831,18-01-2020,South,Tennessee,Knoxville,Men's Street Footwear,49,182,892,535,Online
Sports Direct,1197831,09-03-2021,South,Tennessee,Knoxville,Women's Street Footwear,54,182,983,580,Online
Sports Direct,1197831,20-10-2021,South,Alabama,Birmingham,Women's Apparel,59,182,1074,827,Online
Amazon,1185732,24-05-2020,West,Alaska,Anchorage,Men's Street Footwear,63,182,1147,527,Online
Foot Locker,1128299,01-11-2020,West,Hawaii,Honolulu,Men's Athletic Footwear,81,182,1474,501,Online
Walmart,1128299,28-09-2021,West,Hawaii,Honolulu,Men's Athletic Footwear,77,182,1401,420,Online
West Gear,1185732,14-07-2020,Northeast,New York,Albany,Women's Apparel,42,182,764,489,Online
Kohl's,1185732,17-05-2020,Northeast,New York,Albany,Women's Apparel,69,182,1256,804,Online
Foot Locker,1128299,07-02-2021,Southeast,Virginia,Richmond,Women's Apparel,96,182,1747,699,Online
Foot Locker,1128299,02-01-2021,Southeast,Virginia,Richmond,Women's Street Footwear,86,182,1565,704,Online
Foot Locker,1185732,31-01-2020,Midwest,Michigan,Detroit,Men's Street Footwear,29,182,528,280,Online
West Gear,1185732,20-09-2020,West,Utah,Salt Lake City,Men's Street Footwear,28,182,510,260,Online
Foot Locker,1197831,07-01-2020,South,Louisiana,New Orleans,Men's Street Footwear,19,182,346,149,Online
Sports Direct,1197831,02-03-2021,West,Idaho,Boise,Women's Street Footwear,56,182,1019,530,Online
Sports Direct,1197831,01-10-2021,West,Idaho,Boise,Men's Street Footwear,33,182,601,330,Online
Kohl's,1128299,29-08-2020,West,New Mexico,Albuquerque,Men's Athletic Footwear,61,182,1110,555,Online
Sports Direct,1128299,15-08-2020,Southeast,Georgia,Atlanta,Men's Street Footwear,53,182,965,492,Online
Foot Locker,1185732,28-11-2020,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34,182,619,285,Online
Foot Locker,1185732,18-12-2021,Southeast,South Carolina,Charleston,Women's Street Footwear,24,182,437,166,Online
Foot Locker,1185732,10-06-2021,Southeast,South Carolina,Charleston,Women's Athletic Footwear,43,182,783,329,Online
Sports Direct,1185732,02-10-2021,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,42,182,764,352,Online
Sports Direct,1185732,17-09-2020,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,42,182,764,359,Online
Sports Direct,1185732,02-04-2021,Southeast,North Carolina,Charlotte,Men's Apparel,59,182,1074,526,Online
Sports Direct,1185732,20-12-2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,44,182,801,424,Online
Walmart,1197831,14-02-2020,South,Arkansas,Little Rock,Men's Street Footwear,48,182,874,454,Online
West Gear,1197831,03-10-2021,South,Oklahoma,Oklahoma City,Men's Street Footwear,50,182,910,473,Online
Kohl's,1197831,25-03-2020,Midwest,Kansas,Wichita,Men's Street Footwear,51,182,928,464,Online
West Gear,1185732,06-05-2021,Northeast,West Virginia,Charleston,Men's Street Footwear,55,182,1001,521,Online
Foot Locker,1185732,05-10-2021,Northeast,Delaware,Wilmington,Men's Street Footwear,53,182,965,482,Online
Amazon,1185732,06-06-2020,Northeast,Vermont,Burlington,Men's Street Footwear,54,182,983,560,Online
West Gear,1128299,09-01-2021,West,California,San Francisco,Men's Apparel,49,182,892,508,Outlet
Kohl's,1189833,18-12-2020,West,California,San Francisco,Women's Athletic Footwear,33,182,601,228,Outlet
Sports Direct,1197831,28-05-2021,South,Texas,Dallas,Women's Athletic Footwear,27,182,491,241,Outlet
West Gear,1128299,22-07-2021,West,Nevada,Las Vegas,Men's Street Footwear,31,182,564,254,Outlet
West Gear,1128299,20-02-2020,West,Nevada,Las Vegas,Men's Athletic Footwear,51,182,928,334,Outlet
Sports Direct,1197831,06-04-2020,South,Tennessee,Knoxville,Men's Apparel,33,182,601,270,Outlet
West Gear,1185732,09-09-2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,182,364,142,Outlet
Kohl's,1128299,28-10-2021,West,New Mexico,Albuquerque,Men's Athletic Footwear,38,182,692,297,Outlet
West Gear,1197831,20-01-2021,South,Oklahoma,Oklahoma City,Men's Street Footwear,14,182,255,117,Outlet
Sports Direct,1185732,22-03-2021,Northeast,Connecticut,Hartford,Men's Street Footwear,26,182,473,203,Outlet
Foot Locker,1185732,16-12-2020,Northeast,Rhode Island,Providence,Men's Street Footwear,38,182,692,284,Outlet
